Model,Best Params,MSE,MAE,R2,Training Time (s)
Decision Tree (K=3),"OrderedDict([('max_depth', 5)])",0.23065111698525567,0.3110416474282021,0.8567554607276044,32.79
Decision Tree (K=5),"OrderedDict([('max_depth', 3)])",0.8419939655807477,0.7187561849914791,0.4770845281557361,30.96
Decision Tree (K=7),"OrderedDict([('max_depth', 3)])",0.8419939655807477,0.7187561849914791,0.4770845281557361,33.58
Lasso Regression (K=7),"OrderedDict([('alpha', 0.1228856532357287)])",1.2566928052520858,0.9131234288225102,0.21953821751152958,32.36
Lasso Regression (K=3),"OrderedDict([('alpha', 3.2521088005944945)])",1.6101913424193204,1.047935880234447,0.0,22.2
Lasso Regression (K=5),"OrderedDict([('alpha', 3.2521088005944945)])",1.6101913424193204,1.047935880234447,0.0,24.92
