feature,p_value_weight,XGBoost_importance_pct,LightGBM_importance_pct,CatBoost_importance_pct,XGBoost_perm_pct,linear_coef_pct,correlation_pct,avg_importance_pct
SNOO_409520A_1,0.6513426054260327,0.0,0.0,0.0,0.0,0.0009768863653873351,0.0018421623311258416,0.0004698414494188628
SNOO_036250A_1,0.40733972501899535,0.0,0.0,0.0,0.0,0.0008314302198274332,0.001987290177648684,0.00046978673291268625
SNOO_403120A_2,0.6168939117147462,0.0,0.0,0.0,0.0,0.00039576699742484533,0.0024227882940983875,0.00046975921525387217
SNOO_437870A_1,1.0,0.0,0.0,0.0,0.0,0.0004491684504020811,0.002368837544115171,0.0004696676657528753
SNOO_120190A_1,0.22351757511582812,0.0,0.0,0.0,0.0,0.0011753120231704883,0.001642668282831261,0.0004696633843336249
SNOO_097400A_1,0.8612756302784316,0.0,0.0,0.0,0.0,0.0006906465064857165,0.0021259975271309783,0.0004694406722694491
SNOO_022360A_1,0.3648464739385884,0.0,0.0,0.0,0.0,0.0012419778452543396,0.0015742396870154236,0.0004693695887116272
SNOO_309510A_2,0.1896800981289074,0.0,0.0,0.0,0.0,0.0016021870163001003,0.0012138594054836897,0.0004693410702972984
SNOO_515250_2,1.0,0.0,0.0,0.0,0.0,0.0009193800330806376,0.0018962331154875104,0.00046926885809469134
SNOO_119420A_2,0.10875486605398565,0.0,0.0,0.0,0.0,0.0014169945966464135,0.0013977802038369542,0.00046912913341389466
SNOO_060130A_1,0.12580624776653654,0.0,0.0,0.0,0.0,0.001188498211701013,0.0016259044325127514,0.00046906710736896077
SNOO_405850A_1,0.040496528643650706,0.0,0.0,0.0,0.0,0.0020079785522666726,0.0008063277568281462,0.00046905105151580313
SNOO_035710A_1,0.05428264637156868,0.0,0.0,0.0,0.0,0.001133078877690258,0.0016811727883977079,0.0004690419443479943
SNOO_037120A_2,1.0,0.0,0.0,0.0,0.0,0.00028209469186607944,0.00253116455062206,0.00046887654041468985
SNOO_037150A_1,1.0,0.0,0.0,0.0,0.0,0.00028209469186607944,0.00253116455062206,0.00046887654041468985
SNOO_037130A_2,1.0,0.0,0.0,0.0,0.0,0.00028209469186607944,0.00253116455062206,0.00046887654041468985
SNOO_403950A_2,1.0,0.0,0.0,0.0,0.0,0.00028209469186607944,0.00253116455062206,0.00046887654041468985
SNOO_403960A_1,1.0,0.0,0.0,0.0,0.0,0.00028209469186607944,0.00253116455062206,0.00046887654041468985
SNOO_564810_2,1.0,0.0,0.0,0.0,0.0,0.00028209469186607944,0.00253116455062206,0.00046887654041468985
SNOO_429300A_1,1.0,0.0,0.0,0.0,0.0,0.00028209469186607944,0.00253116455062206,0.00046887654041468985
SNOO_429290A_1,1.0,0.0,0.0,0.0,0.0,0.00028209469186607944,0.00253116455062206,0.00046887654041468985
SNOO_037180A_2,1.0,0.0,0.0,0.0,0.0,0.00028209469186607944,0.00253116455062206,0.00046887654041468985
SNOO_037110A_2,1.0,0.0,0.0,0.0,0.0,0.00028209469186607944,0.00253116455062206,0.00046887654041468985
SNOO_524880_1,1.0,0.0,0.0,0.0,0.0,0.00028209469186607944,0.00253116455062206,0.00046887654041468985
SNOO_134910A_1,0.12439545916802301,0.0,0.0,0.0,0.0,0.0015643936036654114,0.0012486013756067681,0.00046883249654536323
SNOO_510890_2,0.2816986482637168,0.0,0.0,0.0,0.0,0.0001203322402640098,0.0026922593214936453,0.00046876526029294253
SNOO_114350A_2,0.2816986482637168,0.0,0.0,0.0,0.0,0.0001203322402640098,0.0026922593214936453,0.00046876526029294253
SNOO_418460A_2,0.2816986482637168,0.0,0.0,0.0,0.0,0.0001203322402640098,0.0026922593214936453,0.00046876526029294253
SNOO_418460A_1,0.2816986482637168,0.0,0.0,0.0,0.0,0.00012033224026398613,0.0026922593214936444,0.0004687652602929384
SNOO_114350A_1,0.2816986482637168,0.0,0.0,0.0,0.0,0.00012033224026398613,0.0026922593214936444,0.0004687652602929384
SNOO_407510A_1,0.23361232685787475,0.0,0.0,0.0,0.0,0.0017584553223867622,0.0010541156516611838,0.000468761829007991
SNOO_111390A_2,1.0,0.0,0.0,0.0,0.0,0.0004636588382584803,0.0023487788460159354,0.000468739614045736
SNOO_151250A_1,0.9945913229888567,0.0,0.0,0.0,0.0,1.4796649364542832e-05,0.0027972156244382785,0.0004686687123004702
SNOO_426290A_2,0.15804689616230208,0.0,0.0,0.0,0.0,9.000975203712333e-05,0.002721980467790479,0.0004686650366379337
SNOO_426290A_1,0.15804689616230208,0.0,0.0,0.0,0.0,9.000975203712333e-05,0.002721980467790479,0.0004686650366379337
SNOO_415270A_1,0.7734966919471459,0.0,0.0,0.0,0.0,0.0012668451482353263,0.0015450880669457324,0.00046865553586350977
SNOO_078670A_2,0.871413884821232,0.0,0.0,0.0,0.0,0.0011012905128920556,0.0017106014655142042,0.00046864866306771
SNOO_407720A_1,0.12334666620375796,0.0,0.0,0.0,0.0,0.0010175924699336143,0.0017940401659104683,0.00046860543930734715
SNOO_436670A_1,0.09903893847740816,0.0,0.0,0.0,0.0,0.0013056559615393787,0.0015058141658962111,0.0004685783545725983
SNOO_004900A_2,1.0,0.0,0.0,0.0,0.0,0.0003170536819445588,0.002494200601809187,0.0004685423806256243
SNOO_004900A_1,0.7984286420644192,0.0,0.0,0.0,0.0,0.0003170536819445588,0.002494200601809185,0.000468542380625624
SNOO_140470A_1,0.979686192218469,0.0,0.0,0.0,0.0,0.0008243143076858283,0.001986641390363267,0.00046849261634151584
SNOO_425130A_1,0.16727057211150329,0.0,0.0,0.0,0.0,0.0011387426253829387,0.001672010692532564,0.0004684588863192505
SNOO_104400A_1,0.10760239793331199,0.0,0.0,0.0,0.0,0.0006666954105925279,0.002143964029163274,0.00046844323995930034
SNOO_006730A_2,0.7734966919471459,0.0,0.0,0.0,0.0,0.0004764480964047919,0.00233399028575727,0.00046840639702701027
SNOO_580140_1,0.5538621751155146,0.0,0.0,0.0,0.0,0.00029390618596263415,0.0025159160361432594,0.0004683037036843156
SNOO_158060A_1,0.5538621751155146,0.0,0.0,0.0,0.0,0.00029390618596263415,0.0025159160361432594,0.0004683037036843156
SNOO_158050A_1,0.5538621751155146,0.0,0.0,0.0,0.0,0.00029390618596263415,0.0025159160361432594,0.0004683037036843156
