Dataset,Model,K_Folds,CV_MSE,Test_MSE,Test_MAE,Test_R2,Num_Features,MSE_Progress
Calingiri,DecisionTree,3,2.2979890598290598,2.7502399999999994,1.422666666666667,-0.996166887569965,16439,"[np.float64(2.8288230982905986), np.float64(2.4115961324786324), np.float64(2.4517370299145296), np.float64(2.473817329059829), np.float64(2.276553141025641), np.float64(2.4183771367521367), np.float64(2.4449188247863245), np.float64(2.3866175427350433), np.float64(2.189697094017094), np.float64(2.3577128418803412)]"
Calingiri,DecisionTree,5,2.5203197101449275,3.44028,1.4520000000000002,-1.4970086319627378,16486,"[np.float64(2.931957463768116), np.float64(3.004766376811594), np.float64(2.964598586956522), np.float64(2.7250771014492754), np.float64(2.621907463768116), np.float64(2.639734094202899), np.float64(2.5570318478260874), np.float64(2.71141634057971), np.float64(2.6980906884057974), np.float64(2.7005697463768117)]"
Calingiri,GradientBoosting,3,1.5469567307767271,1.43778963675173,0.9753890515733709,-0.04357003904206613,16473,"[np.float64(1.6781293816440126), np.float64(1.649090281243122), np.float64(1.65526705030413), np.float64(1.6553808456443158), np.float64(1.613705748472299), np.float64(1.6013722719795729), np.float64(1.5827864760378345), np.float64(1.539784187040662), np.float64(1.5273960605583923), np.float64(1.541049073398752)]"
Calingiri,GradientBoosting,5,1.5442518646802101,1.1686263660735712,0.8446374882540993,0.1517928413893771,16487,"[np.float64(1.6961475550323868), np.float64(1.6896318861267268), np.float64(1.6899996662170174), np.float64(1.6462696764725493), np.float64(1.6473024273136427), np.float64(1.5664762549635447), np.float64(1.5632618408740548), np.float64(1.5511592612899903), np.float64(1.5787430859711404), np.float64(1.5585180453241256)]"
Calingiri,LinearRegression,3,1.683475573395121,2.1418948769541406,1.1963484878553026,-0.5546205531268547,16427,"[np.float64(2.004993718997279), np.float64(1.964469128633161), np.float64(1.8912385635953377), np.float64(1.8912385635953377), np.float64(1.8912385635953377), np.float64(1.8912385635953377), np.float64(1.8416911249385644), np.float64(1.7922075303656797), np.float64(1.7707509664753076), np.float64(1.7055736422068897)]"
Calingiri,LinearRegression,5,1.9217792453185947,1.9823836148097589,1.165762639580762,-0.43884480276066573,16858,"[np.float64(2.296073312165946), np.float64(2.2801404860327934), np.float64(2.1416377037165697), np.float64(2.113472003319222), np.float64(2.053716525038465), np.float64(2.053716525038465), np.float64(2.053716525038465), np.float64(2.0282488821205678), np.float64(2.0282488821205678), np.float64(2.0282488821205678)]"
