Dataset,Model,K_Folds,CV_MSE,Test_MSE,Test_MAE,Test_R2,Num_Features,MSE_Progress
Halberd,DecisionTree,3,3.1610764529914532,2.781716666666667,1.4229999999999998,-0.8478834346409438,16404,"[np.float64(3.6112781623931625), np.float64(3.460806666666667), np.float64(3.1259624572649574), np.float64(3.213523418803419), np.float64(3.0388811324786325), np.float64(3.0519868803418806), np.float64(2.8727684829059825), np.float64(2.8351158974358976), np.float64(2.857942735042735), np.float64(2.743299123931624)]"
Halberd,DecisionTree,5,2.890736231884058,3.5458700000000003,1.5236666666666667,-1.35550748676427,16475,"[np.float64(3.5709290579710142), np.float64(3.0194894202898555), np.float64(3.161510144927536), np.float64(2.8998340942028986), np.float64(3.10590634057971), np.float64(3.073862246376812), np.float64(2.9624898188405795), np.float64(2.7076553623188406), np.float64(2.856220724637681), np.float64(2.7602787681159424)]"
Halberd,GradientBoosting,3,1.8068089239158251,1.9461035371784978,0.9778159848114674,-0.2927889211511927,16466,"[np.float64(1.907082368284328), np.float64(1.9073582264764994), np.float64(1.927154422855896), np.float64(1.9450462876660755), np.float64(1.8954671021268872), np.float64(1.9355426006440855), np.float64(1.9370601066113295), np.float64(1.8257387041851267), np.float64(1.8070682608939226), np.float64(1.8426237214120453)]"
Halberd,GradientBoosting,5,1.8701518127518835,1.4779520934408974,0.9777395588268528,0.018202240584409557,16308,"[np.float64(2.0947034846197896), np.float64(1.956202480749046), np.float64(1.9139909474198245), np.float64(1.9641940966622449), np.float64(1.953053129553758), np.float64(1.8280575726178214), np.float64(1.8696074468133925), np.float64(1.817986470247072), np.float64(1.8272960616477423), np.float64(1.8160924156372413)]"
Halberd,LinearRegression,3,1.8371265612416956,2.3795014562861505,1.246820625171723,-0.5806934532423667,16672,"[np.float64(2.171816684551142), np.float64(2.015481519910098), np.float64(1.9614712093289708), np.float64(1.9614712093289708), np.float64(1.9614712093289708), np.float64(1.9614712093289708), np.float64(1.915290846380601), np.float64(1.915290846380601), np.float64(1.8371265612416956), np.float64(1.8371265612416956)]"
Halberd,LinearRegression,5,1.9810792716561056,2.3327766365732776,1.2216276342908818,-0.5496543393855746,16616,"[np.float64(2.398686516191096), np.float64(2.323672767524596), np.float64(2.323672767524596), np.float64(2.12538947885767), np.float64(2.12538947885767), np.float64(2.12538947885767), np.float64(2.0791818940308193), np.float64(2.0791818940308193), np.float64(1.9810792716561056), np.float64(1.9810792716561056)]"
