Dataset,Model,K_Folds,CV_MSE,Test_MSE,Test_MAE,Test_R2,Num_Features,MSE_Progress
Lancer,DecisionTree,3,2.6209807905982907,2.5812299999999997,1.2863333333333336,-1.1390392500687812,16602,"[np.float64(2.8604857051282053), np.float64(2.8817382692307696), np.float64(2.8821204273504275), np.float64(2.6112407478632482), np.float64(2.6029214102564104), np.float64(2.4581044658119655), np.float64(2.667352692307692), np.float64(2.5919939957264955), np.float64(2.3292313675213676), np.float64(2.4496613675213674)]"
Lancer,DecisionTree,5,2.8212075,2.2816866666666664,1.1473333333333333,-0.8908107128611567,16524,"[np.float64(2.6753854710144926), np.float64(2.8730842753623187), np.float64(2.7143338768115943), np.float64(2.7627190942028985), np.float64(2.59969231884058), np.float64(2.6823731521739127), np.float64(2.7012078985507246), np.float64(2.8107776086956524), np.float64(2.4983880434782613), np.float64(2.759064456521739)]"
Lancer,GradientBoosting,3,1.6425245075410155,1.2435109775532571,0.8739148550074132,-0.030484997027702354,16481,"[np.float64(1.7668356337945932), np.float64(1.7678647788325863), np.float64(1.7398226207089447), np.float64(1.6345948963177281), np.float64(1.603308106218824), np.float64(1.5907252023172962), np.float64(1.6201888652872716), np.float64(1.6343949400561186), np.float64(1.627018273737866), np.float64(1.565694744791859)]"
Lancer,GradientBoosting,5,1.7638926525811318,1.4692110990884373,0.9111285281297216,-0.21752040987702004,16745,"[np.float64(1.816380710516373), np.float64(1.8188692536156275), np.float64(1.7845223880588335), np.float64(1.7551780016694198), np.float64(1.7801141662607562), np.float64(1.758561123555674), np.float64(1.7546617876145265), np.float64(1.7361679466429294), np.float64(1.7595926098264663), np.float64(1.7612393865187872)]"
Lancer,LinearRegression,3,1.7512461159599582,1.6583158444800952,1.092346746672147,-0.3742296038531554,16589,"[np.float64(2.0737381888855273), np.float64(1.8489510872921961), np.float64(1.8489510872921961), np.float64(1.8489510872921961), np.float64(1.8325249097553964), np.float64(1.8325249097553964), np.float64(1.8305921205498041), np.float64(1.8100624513584638), np.float64(1.7630342321985575), np.float64(1.7630342321985575)]"
Lancer,LinearRegression,5,1.9272702150281062,2.042963851582834,1.1413817203178394,-0.6929835252989363,16646,"[np.float64(2.3570068981529757), np.float64(2.2588436546739956), np.float64(2.1063343129496497), np.float64(2.1063343129496497), np.float64(2.1063343129496497), np.float64(2.081227663600994), np.float64(2.081227663600994), np.float64(2.0507214851827733), np.float64(2.0507214851827733), np.float64(1.9272702150281062)]"
