Model,K_Folds,CV_MSE,Test_MSE,Test_MAE,Test_R2,Num_Features,MSE_Progress
DecisionTree,3,2.6451704487179484,3.6695733333333327,1.5113333333333336,-1.6634332929161606,16501,"[np.float64(2.6031573931623933), np.float64(2.620300128205128), np.float64(2.6606929700854702), np.float64(2.526608675213675), np.float64(2.325686538461539), np.float64(2.5194328205128205), np.float64(2.485709401709402), np.float64(2.408414551282051), np.float64(2.4523324786324783), np.float64(2.310952094017094)]"
DecisionTree,5,2.7860079347826088,3.36968,1.4393333333333336,-1.4457660559466663,16484,"[np.float64(2.9829915942028986), np.float64(2.8702955072463774), np.float64(2.676859963768116), np.float64(2.6975332246376813), np.float64(2.769774528985507), np.float64(2.7676969202898554), np.float64(2.761153550724638), np.float64(2.8120373188405794), np.float64(2.8095836231884057), np.float64(2.655922898550725)]"
GradientBoosting,3,1.5651292530514287,1.3772433103299293,0.9337554463064074,0.0003754246146333573,16474,"[np.float64(1.666060750419233), np.float64(1.6496681908024773), np.float64(1.632485428651224), np.float64(1.632123403620886), np.float64(1.6346491927726212), np.float64(1.641673967178434), np.float64(1.5731854376610788), np.float64(1.6012787798522776), np.float64(1.5605058830617897), np.float64(1.5658995179483888)]"
GradientBoosting,5,1.6013460768109968,1.3203789755352593,0.9077253156159344,0.04164844158799308,16529,"[np.float64(1.6949829978801247), np.float64(1.694013327280978), np.float64(1.6836167765749361), np.float64(1.637917064363909), np.float64(1.677687592148964), np.float64(1.6529831303981506), np.float64(1.6621759583421987), np.float64(1.6234236672051587), np.float64(1.604941538606131), np.float64(1.5872869491899997)]"
LinearRegression,3,1.668040196784094,1.5852248990085718,1.075080757866915,-0.15058084121834936,16430,"[np.float64(2.0049937189972815), np.float64(1.9310469052286667), np.float64(1.9076253882706498), np.float64(1.9076253882706498), np.float64(1.8203722342179176), np.float64(1.8203722342179176), np.float64(1.7512124453666882), np.float64(1.7512124453666882), np.float64(1.668040196784094), np.float64(1.668040196784094)]"
LinearRegression,5,1.9456461495189814,1.7722888275735937,1.1391444483610007,-0.28635474460869004,16678,"[np.float64(2.296073312165947), np.float64(2.1361996641982453), np.float64(2.1361996641982453), np.float64(2.040259484986216), np.float64(2.040259484986216), np.float64(1.9456461495189814), np.float64(1.9456461495189814), np.float64(1.9456461495189814), np.float64(1.9456461495189814), np.float64(1.9456461495189814)]"
